thread_datetime,datetime,fix,latitude,longitude,latitude_degrees,latitude_minutes,longitude_degrees,longitude_minutes,satellites,altitude_m,speed_knots,track_angle_deg,horizontal_dilution,height_geoid
12/07/2024 19:33:07.363,0/0/0 18:32:04,1,55.435928,-5.69801,55,26.1557,-5,41.8806,9,14,,,1.11,53.6
12/07/2024 19:33:07.437,12/07/2024 18:32,1,55.435928,-5.69801,55,26.1557,-5,41.8806,9,14,0.1,249.97,1.11,53.6
12/07/2024 19:33:07.508,12/07/2024 18:32,1,55.435928,-5.69801,55,26.1557,-5,41.8806,9,14,0.1,249.97,1.11,53.6
12/07/2024 19:33:07.582,12/07/2024 18:32,1,55.435928,-5.69801,55,26.1557,-5,41.8806,9,14,0.2,249.97,1.11,53.6
12/07/2024 19:33:07.654,12/07/2024 18:32,1,55.435928,-5.698011,55,26.1557,-5,41.8807,9,14,0.2,249.97,1.11,53.6
12/07/2024 19:33:07.725,12/07/2024 18:32,1,55.435928,-5.698011,55,26.1557,-5,41.8807,9,14,0.21,249.97,1.11,53.6
12/07/2024 19:33:07.801,12/07/2024 18:32,1,55.435928,-5.698011,55,26.1557,-5,41.8807,9,13.9,0.21,249.97,1.11,53.6
12/07/2024 19:33:07.886,12/07/2024 18:32,1,55.435928,-5.698011,55,26.1557,-5,41.8807,9,13.9,0.7,79.65,1.11,53.6
12/07/2024 19:33:07.966,12/07/2024 18:32,1,55.43593,-5.69801,55,26.1558,-5,41.8806,9,14,0.7,79.65,1.11,53.6
12/07/2024 19:33:08.062,12/07/2024 18:32,1,55.43593,-5.69801,55,26.1558,-5,41.8806,9,14,0.72,63.52,1.11,53.6
12/07/2024 19:33:08.134,12/07/2024 18:32,1,55.43593,-5.698006,55,26.1558,-5,41.8804,9,14.1,0.72,63.52,1.11,53.6
12/07/2024 19:33:08.206,12/07/2024 18:32,1,55.43593,-5.698006,55,26.1558,-5,41.8804,9,14.1,0.32,63.52,1.11,53.6
12/07/2024 19:33:08.280,12/07/2024 18:32,1,55.43593,-5.698005,55,26.1558,-5,41.8803,10,14.2,0.32,63.52,0.95,53.6
12/07/2024 19:33:08.351,12/07/2024 18:32,1,55.43593,-5.698005,55,26.1558,-5,41.8803,10,14.2,0.31,63.52,0.95,53.6
12/07/2024 19:33:08.425,12/07/2024 18:32,1,55.43593,-5.698005,55,26.1558,-5,41.8803,10,14.2,0.31,63.52,0.95,53.6
12/07/2024 19:33:08.499,12/07/2024 18:32,1,55.43593,-5.698005,55,26.1558,-5,41.8803,10,14.2,0.24,63.52,0.95,53.6
12/07/2024 19:33:08.572,12/07/2024 18:32,1,55.43593,-5.698005,55,26.1558,-5,41.8803,10,14.2,0.24,63.52,0.95,53.6
12/07/2024 19:33:08.647,12/07/2024 18:32,1,55.43593,-5.698005,55,26.1558,-5,41.8803,10,14.2,0.12,63.52,0.95,53.6
12/07/2024 19:33:08.719,12/07/2024 18:32,1,55.43593,-5.698006,55,26.1558,-5,41.8804,10,14.2,0.12,63.52,0.95,53.6
12/07/2024 19:33:08.792,12/07/2024 18:32,1,55.43593,-5.698006,55,26.1558,-5,41.8804,10,14.2,0.16,63.52,0.95,53.6
